ACTL7B,ADAMTS5
ACTL7B,EGFR
ACTL7B,RBM10
ACTL8,ITPR2
ACTL8,PTPRC
ACTN1,CCT8L2
ACTN1,CNTN1
ACTN1,CNTNAP2
ACTN1,DCC
ACTN1,EGFR
ACTN1,EPHA3
ACTN1,LRP2
ACTN1,NOTCH4
ACTN1,PCDH17
ACTN1,PCDHB12
ACTN1,TLL1
ACTN1,TP53
ACTN2,ABCA2
ACTN2,ACOX3
ACTN2,AKAP8
ACTN2,ARHGEF10
ACTN2,ARNT
ACTN2,ARNT2
ACTN2,ATF2
ACTN2,ATM
ACTN2,ATP10B
ACTN2,BRD2
ACTN2,CDHR5
ACTN2,CLUL1
ACTN2,CYB5R4
ACTN2,DDX11
ACTN2,DDX43
ACTN2,EGFR
ACTN2,EWSR1
ACTN2,F12
ACTN2,F13A1
ACTN2,F8
