gene1,gene2,weight
AXIN1,ZAK,3.878131674823466
B2M,TBP,3.5738603702009537
B3GALT1,SMAD7,4.769920802924952
B3GAT1,NCOR2,3.826934945588662
B4GALNT1,PSMD1,3.677736744996642
B9D2,ZMIZ2,3.530924478485951
BACE2,AKTIP,4.984859446478086
BACE2,GRB7,3.5882580250361813
BACE2,NDUFV1,5.679018364381224
BACE2,PLA2G2C,3.5053077704453406
BACE2,SAR1B,4.262979597022095
BACE2,SDF2L1,4.319931877797785
BAG3,CCT8,4.697855859540829
BAG4,ZMIZ2,5.095012909388352
BAHD1,ACO2,3.671690752588467
BAHD1,MAD2L1BP,5.290810440694495
BAHD1,NR1D2,3.3697544852224333
BAHD1,TBP,3.5475251367095817
BAHD1,ZMIZ2,4.146404808321925
BARX2,ZMIZ2,5.96678013475201
BBS10,ZMIZ2,5.330161993269806
BBS7,ZMIZ2,4.775210473453396
BCL11B,ZMIZ2,4.137447312594384
BCL2,ACO2,4.043010139284229
BCL2,ARHGAP35,3.9155104649807075
BCL2,CCDC90A,3.1981348609552005
BCL2,FIS1,5.588013301142352
BCL2,GPR84,5.100375195477586
BCL2,LRRC41,5.551980616948933
BCL2,NR1D2,3.3031476052579967
BCL2,ORC1,5.663478248333271
BCL2,WDR7,4.210514181513764
BCL2L10,GPR84,4.2699490661490636
BCL7B,ACADSB,5.322966140358895
BCL7B,CBX7,4.145010526582299
BCL7B,ZNF138,4.903792135959428
BDH1,CD46,4.55826836782933
BDH1,GPR84,4.435984466371293
BDH1,GREB1,5.917283891537508
BDH1,S100A6,5.593579624204589
BDH1,TP53RK,3.1052933069580773
BDKRB1,PSMD1,3.304455467091191
BEST2,TMED10,3.827786973938829
BET1L,NCOR2,3.2606195587301134
BICD2,COG4,5.136396994107702
BID,DCPS,3.910094537822471
BMP2K,RGS18,4.279719328390415
BNIP3,ARG1,3.0615705332246894
BNIP3,CUL2,3.3286161988200096
BRAF,COG4,5.273217685444559
BRAF,GPR84,3.6218544478241164
BRAF,MAD2L1BP,4.013048349533982
BRAF,TP53RK,5.754355997395271
BRAP,ZMIZ2,4.064303316509907
BRCA1,NDUFB4,5.066599436187532
BRCA2,SMARCD2,5.8490216840240725
BRDT,ZMIZ2,4.735362614212533
BRWD1,ZMIZ2,3.309281718055002
BST1,ZMIZ2,4.454185495057987
BST2,ADAM17,3.7139933456955507
BST2,ALDH3A1,3.182187423260454
BST2,ALG5,5.490586922882265
BST2,ANXA2,4.280418121452973
BST2,ARID3A,5.352482239826713
BST2,ARPC5,4.176336209766433
BST2,ATP5H,4.12583749362393
BST2,AZGP1,3.474606125069397
