HK2,ZNHIT3
HNF1B,CBX7
HNF1B,DNAJC15
HNF1B,FOXO4
HNF1B,JMJD7-PLA2G4B
HNF1B,MECOM
HNF1B,MTAP
HNF1B,PARP10
HNF1B,SPRY1
HNF1B,TNFRSF14
HNF1B,ZNF577
HNF1B,ZNF596
HNF1B,ZNF785
HSF1,ARID5B
HSF1,CBX7
HSF1,EGR1
HSF1,IFIH1
HSF1,MTAP
HSF1,TXNIP
HSF1,ZNF596
HSPA14,CBX7
HSPA14,FOXO4
HSPA14,JMJD7-PLA2G4B
HSPA14,PARP10
HSPA14,SPRY1
HSPA14,TRIM2
HSPA14,TXNIP
HSPA14,ZNF563
HSPA14,ZNF785
ICE2,ARID5B
ICE2,CBX7
ICE2,PPARA
ICE2,SPRY1
ICE2,STAP2
ICE2,TNFRSF14
ICE2,ZNF433
ICE2,ZNF563
ICE2,ZNF577
IDUA,ANKRD49
IDUA,ARF4
IDUA,DDX49
IDUA,ERBB2
IDUA,FOXA2
IDUA,HSF1
IDUA,MDM4
IDUA,RPN2
IDUA,RPS27A
IDUA,TBL3
IDUA,TEX10
IDUA,USP7
IDUA,YME1L1
IDUA,ZNHIT3
IFI44,MDM4
IFI44,MTX2
IFI44,NFE2L2
IFI44,PPM1D
IFI44,PSMA7
IFI44,RPN2
IFI44,TMEM11
IFI44,UQCRFS1
IFI44,USP7
IFIH1,ARF4
IFIH1,COX6C
IFIH1,DDX49
IFIH1,ERBB2
IFIH1,FOXA2
IFIH1,HSF1
IFIH1,MDM4
IFIH1,MED28
IFIH1,MTX2
IFIH1,NFE2L2
IFIH1,NPEPPS
IFIH1,RPN2
IFIH1,TADA2A
IFIH1,TEX10
IFIH1,TFAP4
IFIH1,TMEM11
IFIH1,TOMM22
IFIH1,USP7
IFIH1,YME1L1
IFIH1,ZNHIT3
ILF2,CBX7
ILF2,DNAJC15
ILF2,JMJD7-PLA2G4B
ILF2,MTAP
ILF2,PPARA
ILF2,STAP2
ILF2,TNFRSF14
ILF2,ZNF563
ILF2,ZNF577
INTS6,ARID5B
INTS6,CBX7
INTS6,DNAJC15
INTS6,JMJD7-PLA2G4B
INTS6,PPARA
INTS6,TIAM1
INTS6,TXNIP
INTS6,ZNF785
INTS6,ZNF85
ITGB5,CBX7
ITGB5,DNAJC15
ITGB5,JMJD7-PLA2G4B
ITGB5,MTAP
ITGB5,PARP10
ITGB5,SPRY1
ITGB5,TNFRSF14
ITGB5,TRIM2
ITGB5,TXNIP
ITGB5,ZNF563
ITGB5,ZNF577
ITGB5,ZNF785
LCN1,CBX7
LCN1,DNAJC15
LCN1,JMJD7-PLA2G4B
LCN1,SPRY1
LCN1,STAP2
LCN1,TNFRSF14
LCN1,ZNF577
LCN1,ZNF785
LSM14A,DNAJC15
LSM14A,PARP10
LSM14A,PPARA
LSM14A,RPS6KA2
LSM14A,SPRY1
LSM14A,TXNIP
LSM14A,ZNF577
LSM14A,ZNF785
MAST3,ANKRD49
MAST3,ARF4
MAST3,DDX49
MAST3,ERBB2
MAST3,EXOSC8
MAST3,FOXA2
MAST3,ILF2
MAST3,MTX2
MAST3,NDUFB5
MAST3,RPS27A
MAST3,TADA2A
MAST3,TEX10
MAST3,TMEM11
MAST3,USP7
MAST3,YME1L1
MAST3,ZNHIT3
MBNL3,NDUFB5
MBNL3,PPM1D
MBNL3,RPN2
MBNL3,TFAP4
MBNL3,TOMM22
MBNL3,USP7
MDM4,CBX7
MDM4,JMJD7-PLA2G4B
MDM4,MTAP
MDM4,PARP10
MDM4,PPARA
MDM4,SPRY1
MDM4,TNFRSF14
MDM4,ZNF563
MDM4,ZNF596
MDM4,ZNF785
MECOM,COX6C
MECOM,DDX49
MECOM,FOXA2
MECOM,MED28
MECOM,MTX2
MECOM,PPM1D
MECOM,TADA2A
MECOM,TBL3
MECOM,TFAP4
MECOM,TMEM11
MECOM,USP7
MECOM,YME1L1
MED28,CBX7
MED28,EGR1
MED28,PPARA
MED28,STAP2
MED28,TXNIP
MED28,ZNF563
MED28,ZNF785
MFN2,IFIH1
MFN2,PARP10
MFN2,PPARA
MFN2,PRDX2
MFN2,TNFRSF14
MFN2,TXNIP
MKRN1,JMJD7-PLA2G4B
MKRN1,PPARA
MKRN1,SPRY1
MKRN1,TRIM2
MKRN1,TXNIP
MKRN1,ZNF85
MLX,CBX7
MLX,FOXO4
MLX,JMJD7-PLA2G4B
MLX,SLC27A3
MLX,SPRY1
MLX,TNFRSF14
MPHOSPH10,CBX7
MPHOSPH10,DNAJC15
MPHOSPH10,PPARA
MPHOSPH10,SLC27A3
MPHOSPH10,ZNF577
MPHOSPH6,MTAP
MPHOSPH6,PRDX2
MPHOSPH6,STAP2
MPHOSPH6,TNFRSF14
MPHOSPH6,TXNIP
MPHOSPH6,ZNF563
MPHOSPH6,ZNF785
MPHOSPH6,ZNF85
MRPL57,CBX7
MRPL57,IFIH1
MRPL57,JMJD7-PLA2G4B
MRPL57,MTAP
MRPL57,PPARA
MRPL57,RPS6KA2
MRPL57,SLC27A3
MRPL57,SPRY1
MRPL57,STAP2
MRPL57,TIAM1
MRPL57,ZNF554
MRPL57,ZNF563
MRPL57,ZNF785
MRPL9,CBX7
MRPL9,MECOM
MRPL9,MST1
MRPL9,PPARA
MRPL9,SPRY1
MRPL9,TNFRSF14
MRPL9,ZNF554
MRPL9,ZNF563
MRPL9,ZNF577
MRPL9,ZNF85
MRPS30,CBX7
MRPS30,DNAJC15
MRPS30,FOXO4
MRPS30,JMJD7-PLA2G4B
MRPS30,MTAP
MRPS30,PPARA
MRPS30,PRDX2
MRPS30,SPRY1
MRPS30,TNFRSF14
MRPS30,ZNF433
MRPS30,ZNF563
MRPS30,ZNF785
MRPS30,ZNF85
MRPS35,CBX7
MRPS35,DNAJC15
MRPS35,JMJD7-PLA2G4B
MRPS35,MTAP
MRPS35,PARP10
MRPS35,TNFRSF14
MRPS35,ZNF563
MRPS35,ZNF577
MRPS35,ZNF596
MRPS35,ZNF785
MST1,ARF4
MST1,ATF4
MST1,COX6C
MST1,ERBB2
MST1,EXOSC8
MST1,FOXA2
MST1,GRWD1
MST1,MDM4
MST1,MED28
MST1,NFE2L2
MST1,PSMA7
MST1,TADA2A
MST1,TEX10
MST1,TMEM11
MST1,USP7
MTAP,ANKRD49
MTAP,ARF4
MTAP,ILF2
MTAP,MDM4
MTAP,MTX2
MTAP,NDUFC1
MTAP,NPEPPS
MTAP,PPM1D
MTAP,RPS27A
MTAP,TMEM11
MTAP,USP7
MTAP,YME1L1
MTAP,ZNHIT3
MTX2,CBX7
MTX2,DNAJC15
MTX2,EGR1
MTX2,MST1
MTX2,PPARA
MTX2,SPRY1
MTX2,TRIM2
MTX2,ZNF596
N4BP2L1,ARF4
N4BP2L1,COX5A
N4BP2L1,DDX49
N4BP2L1,EXOSC8
N4BP2L1,HSF1
N4BP2L1,ILF2
N4BP2L1,MDM4
N4BP2L1,MTX2
N4BP2L1,NPEPPS
N4BP2L1,PARL
N4BP2L1,PPM1D
N4BP2L1,RPN2
N4BP2L1,RPS27A
N4BP2L1,TADA2A
N4BP2L1,TMEM11
N4BP2L1,UBE2D3
N4BP2L1,USP7
N4BP2L1,YME1L1
N6AMT1,CBX7
N6AMT1,JMJD7-PLA2G4B
N6AMT1,PPARA
N6AMT1,STAP2
N6AMT1,TIAM1
N6AMT1,TNFRSF14
N6AMT1,ZNF563
N6AMT1,ZNF596
N6AMT1,ZNF785
NARS2,CBX7
NARS2,JMJD7-PLA2G4B
NARS2,MECOM
NARS2,PRDX2
NARS2,SPRY1
NARS2,TRIM2
NARS2,ZNF554
NCAPG2,ARID5B
NCAPG2,DNAJC15
NCAPG2,JMJD7-PLA2G4B
NCAPG2,PARP10
NCAPG2,ZNF563
NCAPG2,ZNF785
NDC80,DNAJC15
NDC80,JMJD7-PLA2G4B
NDC80,MST1
NDC80,MTAP
NDC80,PPARA
NDC80,SPRY1
NDC80,ZNF577
NDUFA10,ARID5B
NDUFA10,EGR1
NDUFA10,JMJD7-PLA2G4B
NDUFA10,MTAP
NDUFA10,PARP10
NDUFA10,TNFRSF14
NDUFA10,TXNIP
NDUFA10,ZNF785
NDUFB5,PPARA
NDUFB5,PRDX2
NDUFB5,SPRY1
NDUFB5,TXNIP
NDUFB5,ZNF563
NDUFB5,ZNF85
NDUFC1,CBX7
NDUFC1,DNAJC15
NDUFC1,JMJD7-PLA2G4B
NDUFC1,MTAP
NDUFC1,SLC27A3
NDUFC1,SPRY1
NDUFC1,TIAM1
NFE2L2,CBX7
NFE2L2,MST1
NFE2L2,PPARA
NFE2L2,SPRY1
NFE2L2,ZNF554
NFE2L2,ZNF785
NFE2L2,ZNF85
NFIX,ANKRD49
NFIX,DDX49
NFIX,ERBB2
NFIX,FOXA2
NFIX,HSF1
NFIX,MED28
NFIX,MTX2
NFIX,NFE2L2
NFIX,PPM1D
NFIX,RPN2
NFIX,TFAP4
NFIX,TMEM11
NFIX,TOMM22
NFIX,UBE2D3
NFIX,USP7
NFIX,YME1L1
NFIX,ZNHIT3
NHP2,CBX7
NHP2,JMJD7-PLA2G4B
NHP2,MTAP
NHP2,SLC27A3
NHP2,SPRY1
NHP2,TNFRSF14
NHP2,TRIM2
NHP2,TXNIP
NHP2,ZNF433
NHP2,ZNF554
NHP2,ZNF577
NHP2,ZNF596
NHP2,ZNF785
NLE1,CBX7
NLE1,DNAJC15
NLE1,JMJD7-PLA2G4B
NLE1,RPS6KA2
NLE1,SLC27A3
NLE1,SPRY1
NLE1,TIAM1
NLE1,ZNF554
NLE1,ZNF596
NOC4L,DNAJC15
NOC4L,EGR1
NOC4L,SLC27A3
NOC4L,TRIM2
NOC4L,ZNF85
NOL6,ARID5B
NOL6,MTAP
NOL6,PARP10
NOL6,STAP2
NOL6,TNFRSF14
NOL6,ZNF577
NOP56,CBX7
NOP56,MECOM
NOP56,MTAP
NOP56,TNFRSF14
NOP56,TXNIP
NOP56,ZNF433
NOP56,ZNF554
NOP56,ZNF596
NOP56,ZNF785
NPEPPS,CBX7
NPEPPS,PARP10
NPEPPS,PPARA
NPEPPS,PRDX2
NPEPPS,TNFRSF14
NPEPPS,TRIM2
NPEPPS,ZNF577
NPEPPS,ZNF596
PAM16,ARID5B
